scenario,as_of_date,p_awry_vintage,p_awry_revised,delta_pp,payems_delta_jobs
2001_dotcom,2001-02-28,0.03288705675673102,0.03317299424035857,0.028593748362754773,659000.0
2008_gfc,2007-11-30,0.0779028042958164,0.1809451346273759,10.30423303315595,-131000.0
2020_covid,2020-01-31,0.003114156588224898,0.014640074164859143,1.1525917576634246,-352000.0
